Source,Field,Field(lower),Tokenized Source,Descriptor,Tokenized Descriptor,Label,category,text
SAP IS H Case Attribute,RETWO,retwo,sap h case attribute,Other Diagnosis Two When Discharge,diagnosis two discharge,event,event,sap h case attribute retwo diagnosis two discharge
SAP IS H Case Attribute,DSDIA,dsdia,sap h case attribute,Main Diagnosis at Discharge,main diagnosis discharge,event,event,sap h case attribute dsdia main diagnosis discharge
Z CHP Procedure,ICPML,icpml,z chp procedure,IS H  Surgical Procedure Code  Service ,h surgical procedure code service,event,event,z chp procedure icpml h surgical procedure code service
Z CHP CASE IN,ABRKZ,abrkz,z chp case,IS H  Billing Indicator for Case,h billing indicator case,event,event,z chp case abrkz h billing indicator case
Z CHP CASE IN,FALNR,falnr,z chp case,IS H  Case Number,h case number,event,event,z chp case falnr h case number
SAP IS H Case Attribute,AMCON,amcon,sap h case attribute,Patient Admitting Condition,patient admitting condition,event,event,sap h case attribute amcon patient admitting condition
Z CHP Procedure,FALNR,falnr,z chp procedure,IS H  Case Number,h case number,key,key,z chp procedure falnr h case number
SAP IS H DataSource for Patient,PATNR,patnr,sap h datasource patient,IS H  Patient Number,h patient number,key,key,sap h datasource patient patnr h patient number
SAP IS H Case Attribute,FALNR,falnr,sap h case attribute,IS H  Case Number,h case number,key,key,sap h case attribute falnr h case number
Z CHP DRG,PATCASEID,patcaseid,z chp drg,IS H  Case Number,h case number,key,key,z chp drg patcaseid h case number
Z CHP Procedure,PATNR,patnr,z chp procedure,IS H  Patient Number,h patient number,key,key,z chp procedure patnr h patient number
Z CHP CASE IN,PATNR,patnr,z chp case,IS H  Patient Number,h patient number,key,key,z chp case patnr h patient number
Z CHP CASE OUT,PATNR,patnr,z chp case,IS H  Patient Number,h patient number,key,key,z chp case patnr h patient number
Z CHP DRG,PATNR,patnr,z chp drg,IS H  Patient Number,h patient number,key,key,z chp drg patnr h patient number
Z CHP CASE OUT,ORGPF,orgpf,z chp case,Organizational Unit Assigned to Case,organizational unit assigned case,location,location,z chp case orgpf organizational unit assigned case
Z CHP DRG,INSTITUTION,institution,z chp drg,Institution,institution,location,location,z chp drg institution institution
Z CHP CASE IN,EINRI,einri,z chp case,Institution,institution,location,location,z chp case einri institution
SAP IS H DataSource for Patient,EINRI,einri,sap h datasource patient,IS H  Institution,h institution,location,location,sap h datasource patient einri h institution
Z CHP CASE OUT,EINRI,einri,z chp case,Institution,institution,location,location,z chp case einri institution
Z CHP CASE IN,ORGFA,orgfa,z chp case,IS H  OU with Departmental Responsibility for Case,h ou departmental responsibility case,location,location,z chp case orgfa h ou departmental responsibility case
Z CHP Procedure,ORGFA,orgfa,z chp procedure,IS H  OU with Departmental Responsibility for Case,h ou departmental responsibility case,location,location,z chp procedure orgfa h ou departmental responsibility case
Z CHP DRG,ORGFA,orgfa,z chp drg,IS H  OU with Departmental Responsibility for Case,h ou departmental responsibility case,location,location,z chp drg orgfa h ou departmental responsibility case
Z CHP CASE OUT,FALAR,falar,z chp case,IS H  Case Type,h case type,object,object,z chp case falar h case type
SAP IS H DataSource for Object ,KEY1,key1,sap h datasource object,Key Field for Text DataSource,key field text datasource,object,object,sap h datasource object key1 key field text datasource
SAP IS H DataSource for Object ,TXTSH,txtsh,sap h datasource object,Short Description,short description,object,object,sap h datasource object txtsh short description
Z CHP Procedure,FALAR,falar,z chp procedure,IS H  Case Type,h case type,object,object,z chp procedure falar h case type
SAP IS H DataSource for Object ,LANGU,langu,sap h datasource object,Language Key,language key,object,object,sap h datasource object langu language key
Z CHP DRG,DRG_CODE,drg_code,z chp drg,IS H  DRG Code,h drg code,object,object,z chp drg drg_code h drg code
Z CHP DRG,MDC_CAT,mdc_cat,z chp drg,IS H  Catalog for Major Diagnostic Category  MDC ,h catalog major diagnostic category mdc,object,object,z chp drg mdc_cat h catalog major diagnostic category mdc
SAP IS H DataSource for Object ,TXTLG,txtlg,sap h datasource object,Long Description,long description,object,object,sap h datasource object txtlg long description
Z CHP CASE IN,BEWTY,bewty,z chp case,Movement Category,movement category,object,object,z chp case bewty movement category
Z CHP Procedure,ICPMK,icpmk,z chp procedure,IS H  Identification of Surgical Procedure Coding Catalog,h identification surgical procedure coding catalog,object,object,z chp procedure icpmk h identification surgical procedure coding catalog
SAP IS H DataSource for Object ,TXTMD,txtmd,sap h datasource object,Medium Description,medium description,object,object,sap h datasource object txtmd medium description
Z CHP DRG,MDC_CODE,mdc_code,z chp drg,IS H  Code of Major Diagnostic Category  MDC ,h code major diagnostic category mdc,object,object,z chp drg mdc_code h code major diagnostic category mdc
SAP IS H Case Attribute,FALAR,falar,sap h case attribute,IS H  Case Type,h case type,object,object,sap h case attribute falar h case type
SAP IS H DataSource for Patient,TXTMD,txtmd,sap h datasource patient,Medium Description,medium description,person,person,sap h datasource patient txtmd medium description
SAP IS H DataSource for Patient,TXTLG,txtlg,sap h datasource patient,Description  Long ,description long,person,person,sap h datasource patient txtlg description long
Z CHP CASE OUT,BEGDT,begdt,z chp case,IS H  Start Date of Case,h start date case,time,time,z chp case begdt h start date case
Z CHP CASE OUT,ENDDT,enddt,z chp case,IS H  End Date of Case,h end date case,time,time,z chp case enddt h end date case
SAP IS H Case Attribute,BGDOP,bgdop,sap h case attribute,Surgical Procedure Date,surgical procedure date,time,time,sap h case attribute bgdop surgical procedure date
Z CHP CASE IN,BWIZT,bwizt,z chp case,IS H  Time of Movement,h time movement,time,time,z chp case bwizt h time movement
Z CHP CASE OUT,BWIDT,bwidt,z chp case,IS H  Date of Movement,h date movement,time,time,z chp case bwidt h date movement
Z CHP CASE IN,BWEDT,bwedt,z chp case,IS H  Movement End Date  Start Date of Subsequent Movement,h movement end date start date subsequent movement,time,time,z chp case bwedt h movement end date start date subsequent movement
Z CHP Procedure,BGDOP,bgdop,z chp procedure,IS H  Date when Surgical Procedure Code Performed,h date surgical procedure code performed,time,time,z chp procedure bgdop h date surgical procedure code performed
Z CHP CASE IN,BWIDT,bwidt,z chp case,IS H  Date of Movement,h date movement,time,time,z chp case bwidt h date movement
Z CHP DRG,DRG_CREAT_DATE,drg_creat_date,z chp drg,Date when DRG Was Determined,date drg determined,time,time,z chp drg drg_creat_date date drg determined
Z CHP DRG,DRG_CREAT_TIME,drg_creat_time,z chp drg,Time when DRG Was Determined,time drg determined,time,time,z chp drg drg_creat_time time drg determined
Z CHP CASE IN,TIMESTAMP,timestamp,z chp case,Timestamp in Short Form  YYYYMMDDhhmmss ,timestamp short form yyyymmddhhmmss,time,time,z chp case timestamp timestamp short form yyyymmddhhmmss
Z CHP CASE IN,BWEZT,bwezt,z chp case,IS H  Movement End Time  Start Time of Subsequent Movement,h movement end time start time subsequent movement,time,time,z chp case bwezt h movement end time start time subsequent movement
SAP IS H Case Attribute,CFDAT,cfdat,sap h case attribute,Diagnosis Confirmed Date After Admission,diagnosis confirmed date admission,time,time,sap h case attribute cfdat diagnosis confirmed date admission
SAP IS H DataSource for Object ,DATEFROM,datefrom,sap h datasource object,Valid From Date,valid date,time,time,sap h datasource object datefrom valid date
SAP IS H Case Attribute,DISDT,disdt,sap h case attribute,Discharge Date,discharge date,time,time,sap h case attribute disdt discharge date
Z CHP CASE OUT,BWIZT,bwizt,z chp case,IS H  Time of Movement,h time movement,time,time,z chp case bwizt h time movement
SAP IS H DataSource for Patient,ERDAT,erdat,sap h datasource patient,Date on Which Record Was Created,date record created,time,time,sap h datasource patient erdat date record created
Z CHP CASE OUT,TIMESTAMP,timestamp,z chp case,Timestamp in Short Form  YYYYMMDDhhmmss ,timestamp short form yyyymmddhhmmss,time,time,z chp case timestamp timestamp short form yyyymmddhhmmss
SAP IS H DataSource for Patient,UPDAT,updat,sap h datasource patient,Date of the last change of an object,date last change object,time,time,sap h datasource patient updat date last change object
SAP IS H DataSource for Object ,DATETO,dateto,sap h datasource object,Valid To Date,valid date,time,time,sap h datasource object dateto valid date
Z CHP DRG,TIMESTAMP,timestamp,z chp drg,Timestamp in Short Form  YYYYMMDDhhmmss ,timestamp short form yyyymmddhhmmss,time,time,z chp drg timestamp timestamp short form yyyymmddhhmmss
